CompanyNumber_norm,period_end,source_zip,internal_filename,file_format,file_size
00031641,2024-05-31,Accounts_Monthly_Data-February2025.zip,Prod224_3600_00031641_20240531.html,html,82779
00031641,2025-05-31,Accounts_Monthly_Data-January2026.zip,Prod224_2601_00031641_20250531.html,html,78037
00038191,2024-03-31,Accounts_Monthly_Data-August2024.zip,Prod224_2466_00038191_20240331.html,html,344626
00038191,2025-03-31,Accounts_Monthly_Data-August2025.zip,Prod224_2508_00038191_20250331.html,html,342343
00041365,2023-12-31,Accounts_Monthly_Data-September2024.zip,Prod224_2476_00041365_20231231.html,html,117245
00048896,2023-12-31,Accounts_Monthly_Data-October2024.zip,Prod224_3000_00048896_20231231.html,html,36833
00048896,2024-12-31,Accounts_Monthly_Data-September2025.zip,Prod224_2509_00048896_20241231.html,html,30999
00048896,2025-12-31,Accounts_Monthly_Data-April2026.zip,Prod224_2604_00048896_20251231.html,html,31083
00054365,2023-12-31,Accounts_Monthly_Data-November2024.zip,Prod224_3100_00054365_20231231.html,html,22483
00054365,2024-12-31,Accounts_Monthly_Data-August2025.zip,Prod224_2508_00054365_20241231.html,html,22483
00056722,2023-12-31,Accounts_Monthly_Data-August2024.zip,Prod224_2466_00056722_20231231.html,html,20288
00056722,2024-12-31,Accounts_Monthly_Data-September2025.zip,Prod224_2509_00056722_20241231.html,html,25824
00061446,2024-03-31,Accounts_Monthly_Data-August2024.zip,Prod224_2466_00061446_20240331.html,html,55911
00061446,2025-03-31,Accounts_Monthly_Data-December2025.zip,Prod224_2512_00061446_20250331.html,html,55215
00062288,2023-12-31,Accounts_Monthly_Data-September2024.zip,Prod224_2476_00062288_20231231.html,html,25396
00062288,2024-12-31,Accounts_Monthly_Data-December2025.zip,Prod224_2512_00062288_20241231.html,html,26985
00066471,2024-12-31,Accounts_Monthly_Data-June2025.zip,Prod224_2506_00066471_20241231.html,html,573285
00067133,2024-03-31,Accounts_Monthly_Data-October2024.zip,Prod224_3000_00067133_20240331.html,html,182061
