financial_cluster_id,Accounts_AccountCategory,companies,share_within_cluster
FC01,FULL,5,0.00038977237293420645
FC01,GROUP,16,0.0012472715933894605
FC01,MICRO ENTITY,10327,0.80503585905831
FC01,SMALL,8,0.0006236357966947302
FC01,TOTAL EXEMPTION FULL,2150,0.16760212036170877
FC01,UNAUDITED ABRIDGED,322,0.025101340816962893
FC02,AUDIT EXEMPTION SUBSIDIARY,3,0.00019925611052072262
FC02,FULL,58,0.0038522848034006378
FC02,GROUP,16,0.0010626992561105207
FC02,MEDIUM,9,0.000597768331562168
FC02,MICRO ENTITY,8674,0.5761158342189161
FC02,SMALL,186,0.012353878852284804
FC02,TOTAL EXEMPTION FULL,5524,0.3668969181721573
FC02,UNAUDITED ABRIDGED,586,0.03892136025504782
FC03,FULL,115,0.0033108769505383775
FC03,GROUP,54,0.001554672655035412
FC03,MEDIUM,5,0.00014395117176253816
FC03,MICRO ENTITY,20248,0.5829446651695744
FC03,SMALL,268,0.0077157828064720445
FC03,TOTAL EXEMPTION FULL,12433,0.35794898370472733
FC03,UNAUDITED ABRIDGED,1611,0.04638106754188979
FC04,AUDIT EXEMPTION SUBSIDIARY,1,7.96876245119133e-05
FC04,FULL,16,0.0012750019921906129
FC04,GROUP,6,0.0004781257470714798
FC04,MEDIUM,2,0.0001593752490238266
FC04,MICRO ENTITY,7539,0.6007650011953144
FC04,SMALL,61,0.004860945095226711
FC04,TOTAL EXEMPTION FULL,4327,0.3448083512630489
FC04,UNAUDITED ABRIDGED,597,0.04757351183361224
FC05,AUDIT EXEMPTION SUBSIDIARY,3,0.0003143336127409891
FC05,FULL,262,0.027451802179379713
FC05,GROUP,104,0.010896898575020955
FC05,MEDIUM,129,0.013516345347862531
FC05,MICRO ENTITY,2231,0.23375943000838223
FC05,SMALL,328,0.03436714165968147
FC05,TOTAL EXEMPTION FULL,5506,0.5769069572506287
FC05,UNAUDITED ABRIDGED,981,0.10278709136630344
