financial_cluster_id,scale_dimension,scale_band,companies,share_within_cluster_dimension
FC01,absolute_equity_scale_band,High,667,0.05199563454942314
FC01,absolute_equity_scale_band,Low,8742,0.6814780168381666
FC01,absolute_equity_scale_band,Medium,3379,0.2634081696289367
FC01,absolute_equity_scale_band,,40,0.0031181789834736516
FC01,creditors_scale_band,High,114,0.008886810102899906
FC01,creditors_scale_band,Low,10254,0.7993451824134705
FC01,creditors_scale_band,Medium,936,0.07296538821328344
FC01,creditors_scale_band,,1524,0.11880261927034612
FC01,current_assets_scale_band,High,255,0.019878391019644528
FC01,current_assets_scale_band,Low,9524,0.7424384159650764
FC01,current_assets_scale_band,Medium,1812,0.1412535079513564
FC01,current_assets_scale_band,,1237,0.09642968506392267
FC01,employee_scale_band,High,1781,0.13883691923916433
FC01,employee_scale_band,Low,9936,0.774555659494855
FC01,employee_scale_band,Medium,638,0.04973495478640474
FC01,employee_scale_band,,473,0.03687246647957593
FC01,fixed_assets_scale_band,High,522,0.04069223573433115
FC01,fixed_assets_scale_band,Low,2880,0.2245088868101029
FC01,fixed_assets_scale_band,Medium,1608,0.1253507951356408
FC01,fixed_assets_scale_band,,7818,0.6094480823199252
FC01,net_assets_scale_band,High,785,0.06119426255067041
FC01,net_assets_scale_band,Low,5105,0.39795759276582476
FC01,net_assets_scale_band,Medium,6204,0.48362956033676335
FC01,net_assets_scale_band,,734,0.0572185843467415
FC01,total_assets_scale_band,High,806,0.06283130651699408
FC01,total_assets_scale_band,Low,6683,0.5209697536638603
FC01,total_assets_scale_band,Medium,4748,0.37012784533832244
FC01,total_assets_scale_band,,591,0.0460710944808232
FC02,absolute_equity_scale_band,High,3506,0.23286397449521784
FC02,absolute_equity_scale_band,Low,3761,0.2498007438894793
FC02,absolute_equity_scale_band,Medium,7734,0.513682252922423
FC02,absolute_equity_scale_band,,55,0.003653028692879915
FC02,creditors_scale_band,High,5537,0.3677603613177471
FC02,creditors_scale_band,Low,2666,0.17707226354941552
FC02,creditors_scale_band,Medium,6815,0.4526434643995749
FC02,creditors_scale_band,,38,0.0025239107332624866
FC02,current_assets_scale_band,High,2133,0.1416710945802338
FC02,current_assets_scale_band,Low,6763,0.44918969181721574
FC02,current_assets_scale_band,Medium,5221,0.3467720510095643
FC02,current_assets_scale_band,,939,0.062367162592986185
FC02,employee_scale_band,High,4508,0.2994155154091392
FC02,employee_scale_band,Low,7950,0.5280286928799149
FC02,employee_scale_band,Medium,1623,0.10779755579171095
FC02,employee_scale_band,,975,0.06475823591923485
FC02,fixed_assets_scale_band,High,1706,0.11331030818278427
FC02,fixed_assets_scale_band,Low,2633,0.17488044633368757
FC02,fixed_assets_scale_band,Medium,3278,0.21772051009564294
FC02,fixed_assets_scale_band,,7439,0.4940887353878852
FC02,net_assets_scale_band,Low,13388,0.8892136025504782
FC02,net_assets_scale_band,Medium,17,0.0011291179596174283
FC02,net_assets_scale_band,,1651,0.10965727948990436
FC02,total_assets_scale_band,High,1279,0.08494952178533476
FC02,total_assets_scale_band,Low,10931,0.7260228480340064
FC02,total_assets_scale_band,Medium,2057,0.1366232731137088
FC02,total_assets_scale_band,,789,0.052404357066950055
FC03,absolute_equity_scale_band,High,12556,0.3614901825300858
FC03,absolute_equity_scale_band,Low,6368,0.18333621235676859
FC03,absolute_equity_scale_band,Medium,15358,0.44216041918581217
FC03,absolute_equity_scale_band,,452,0.013013185927333448
FC03,creditors_scale_band,High,7302,0.2102262912420107
FC03,creditors_scale_band,Low,9733,0.28021535095295674
FC03,creditors_scale_band,Medium,16655,0.47950135314101455
FC03,creditors_scale_band,,1044,0.030057004664017964
FC03,current_assets_scale_band,High,12629,0.36359186963781887
FC03,current_assets_scale_band,Low,3623,0.10430701905913514
FC03,current_assets_scale_band,Medium,16550,0.47647837853400127
FC03,current_assets_scale_band,,1932,0.05562273276904474
FC03,employee_scale_band,High,9994,0.28772960211896126
FC03,employee_scale_band,Low,20365,0.5863131225888178
FC03,employee_scale_band,Medium,3513,0.1011400932803593
FC03,employee_scale_band,,862,0.024817182011861578
FC03,fixed_assets_scale_band,High,4810,0.1384810272355617
FC03,fixed_assets_scale_band,Low,6203,0.17858582368860482
FC03,fixed_assets_scale_band,Medium,7815,0.22499568146484714
FC03,fixed_assets_scale_band,,15906,0.45793746761098636
FC03,net_assets_scale_band,High,12513,0.360252202452928
FC03,net_assets_scale_band,Low,1564,0.04502792652732193
FC03,net_assets_scale_band,Medium,15768,0.4539644152703403
FC03,net_assets_scale_band,,4889,0.1407554557494098
FC03,total_assets_scale_band,High,12470,0.35901422237577013
FC03,total_assets_scale_band,Low,2540,0.07312719525536938
FC03,total_assets_scale_band,Medium,16923,0.4872171359474866
FC03,total_assets_scale_band,,2801,0.08064144642137387
FC04,absolute_equity_scale_band,High,3488,0.2779504342975536
FC04,absolute_equity_scale_band,Low,3866,0.3080723563630568
FC04,absolute_equity_scale_band,Medium,4958,0.39509124233006615
FC04,absolute_equity_scale_band,,237,0.018885967009323452
FC04,creditors_scale_band,High,5952,0.47430074109490794
FC04,creditors_scale_band,Low,794,0.06327197386245915
FC04,creditors_scale_band,Medium,5803,0.46242728504263286
FC04,current_assets_scale_band,High,2391,0.1905331102079847
FC04,current_assets_scale_band,Low,3540,0.28209419077217307
FC04,current_assets_scale_band,Medium,6618,0.5273726990198422
FC04,employee_scale_band,High,4924,0.39238186309666107
FC04,employee_scale_band,Low,5493,0.43772412144393974
FC04,employee_scale_band,Medium,1501,0.11961112439238186
FC04,employee_scale_band,,631,0.05028289106701729
FC04,fixed_assets_scale_band,High,4158,0.3313411427205355
FC04,fixed_assets_scale_band,Low,1355,0.10797673121364253
FC04,fixed_assets_scale_band,Medium,4042,0.32209737827715357
FC04,fixed_assets_scale_band,,2994,0.23858474778866842
FC04,net_assets_scale_band,High,3760,0.299625468164794
FC04,net_assets_scale_band,Low,1394,0.11108454856960714
FC04,net_assets_scale_band,Medium,6035,0.4809148139293968
FC04,net_assets_scale_band,,1360,0.10837516933620209
FC04,total_assets_scale_band,High,3776,0.3009004701569846
FC04,total_assets_scale_band,Low,1877,0.14957367120886125
FC04,total_assets_scale_band,Medium,6038,0.4811538768029325
FC04,total_assets_scale_band,,858,0.06837198183122162
FC05,absolute_equity_scale_band,High,5859,0.6138935456831517
FC05,absolute_equity_scale_band,Low,1423,0.1490989103101425
FC05,absolute_equity_scale_band,Medium,1896,0.19865884325230512
FC05,absolute_equity_scale_band,,366,0.03834870075440067
FC05,creditors_scale_band,High,6196,0.6492036881810561
FC05,creditors_scale_band,Low,487,0.0510268231349539
FC05,creditors_scale_band,Medium,2808,0.2942162615255658
FC05,creditors_scale_band,,53,0.005553227158424141
FC05,current_assets_scale_band,High,7098,0.7437133277451802
FC05,current_assets_scale_band,Low,179,0.018755238893545682
FC05,current_assets_scale_band,Medium,2169,0.2272632020117351
FC05,current_assets_scale_band,,98,0.010268231349538977
