CompanyNumber_norm,period_t,period_t_plus_1,split_company,split_time
00031641,2024-05-31,2025-05-31,train,time_train
00038191,2024-03-31,2025-03-31,test,time_train
00048896,2023-12-31,2024-12-31,train,time_train
00048896,2024-12-31,2025-12-31,train,time_train
00054365,2023-12-31,2024-12-31,test,time_train
00056722,2023-12-31,2024-12-31,train,time_train
00061446,2024-03-31,2025-03-31,train,time_train
00062288,2023-12-31,2024-12-31,train,time_train
00067133,2024-03-31,2025-03-31,train,time_train
00079665,2023-07-31,2024-07-31,train,time_train
00079665,2024-07-31,2025-07-31,train,time_train
00085961,2025-03-31,2026-03-31,train,time_test
00088783,2023-12-31,2024-12-31,train,time_train
00088783,2024-12-31,2025-12-31,train,time_train
00094342,2024-06-30,2025-06-30,train,time_train
00096813,2024-03-31,2025-03-31,train,time_train
00109030,2023-12-31,2024-12-31,train,time_train
00109575,2023-12-31,2024-12-31,test,time_train
00110145,2024-06-30,2025-06-30,train,time_train
00112407,2024-09-30,2025-09-30,train,time_train
00119342,2023-12-31,2024-12-31,train,time_train
00119916,2025-01-31,2026-01-31,test,time_train
00123786,2024-03-31,2025-03-31,train,time_train
00124503,2024-03-31,2025-03-31,train,time_train
00124623,2024-03-31,2025-03-31,train,time_train
00127864,2024-04-30,2025-04-30,train,time_train
00130643,2024-05-31,2025-05-31,train,time_train
00132129,2024-06-30,2025-06-30,test,time_train
00133399,2024-12-31,2025-12-31,train,time_train
00133936,2023-12-31,2024-12-31,train,time_train
00136173,2024-03-31,2025-03-31,train,time_train
00140423,2023-12-31,2024-12-31,test,time_train
00143331,2024-03-31,2025-03-31,test,time_train
00143848,2025-01-31,2026-01-31,train,time_train
00148409,2024-01-31,2025-01-31,train,time_train
00149273,2023-12-31,2024-12-31,train,time_train
00149273,2024-12-31,2025-12-31,train,time_train
00149772,2023-12-31,2024-12-31,train,time_train
00149823,2024-03-31,2025-03-31,test,time_train
00151974,2024-12-31,2025-12-31,train,time_train
00153998,2024-03-31,2025-03-31,train,time_train
00153998,2025-03-31,2026-03-31,train,time_train
00161716,2024-08-31,2025-08-31,train,time_test
00165116,2024-09-30,2025-09-30,test,time_train
00166525,2024-09-30,2025-09-30,train,time_test
