field_name,source_table,exclusion_type,rationale_cn,allowed_use,version
profit_loss,01_financial_status_labels_100k.csv,excluded_from_score,覆盖率过低且跨报表类别可比性不足,case_review_only,FIN_BASE_V1.0
reported_loss_flag,01_financial_status_labels_100k.csv,supplementary_only,有效覆盖率过低会破坏公司间正式分数可比性,reason_code_when_eligible,FIN_BASE_V1.0
financial_evidence_tier,05_financial_data_quality_labels_100k.csv,control_only,表示证据类型而非业务价值,confidence_and_distribution_audit,FIN_BASE_V1.0
core_fields_complete_flag,05_financial_data_quality_labels_100k.csv,control_only,表示数据完整度而非业务机会,coverage_and_confidence,FIN_BASE_V1.0
accounts_age_days_at_snapshot,05_financial_data_quality_labels_100k.csv,control_only,表示时效性而非业务方向,confidence_and_filtering,FIN_BASE_V1.0
financial_cluster_id,external_cluster_output,excluded_from_base_score,基础分阶段避免重复计算同一财务结构,distribution_audit_then_residual_calibration,FIN_BASE_V1.0
Accounts_AccountCategory,all_company_level_tables,peer_control_only,Companies House申报类别不是Lloyds业务价值标签,peer_group_and_subgroup_rank,FIN_BASE_V1.0
primary_sector,all_company_level_tables,peer_control_only,行业用于标准化而不是直接赋分,peer_group_and_subgroup_rank,FIN_BASE_V1.0
change_band,03_financial_change_labels.csv,explanation_only,连续signed-log变化已进入分数避免重复计分,reason_code_and_reporting,FIN_BASE_V1.0
scale_band,02_financial_scale_labels_100k.csv,explanation_only,连续同行百分位已进入分数避免重复计分,reason_code_and_reporting,FIN_BASE_V1.0
extreme_amount_p999_flag,05_financial_data_quality_labels_100k.csv,quality_control_only,异常值标志用于审计而非业务评分,data_quality_filter,FIN_BASE_V1.0

