metric,model,n_test,zero_frac,skill,skill_sd,r2,spearman,mae,decile_spread,decile_spread_median
cash,B0_zero,31753,0.0406,0.0,0.0,-0.0,,0.9701,,
cash,B1_train_mean,31753,0.0406,-0.0,0.0,-0.0001,,0.9702,,
cash,B2_group_mean,31753,0.0406,-0.0002,0.0011,-0.0002,0.0281,0.9736,0.2561,0.0636
cash,B3_gbm,31753,0.0406,0.1498,0.0098,0.1497,0.2421,0.9821,2.0986,0.7485
creditors_total,B0_zero,74018,0.0652,0.0,0.0,-0.0022,,0.7027,,
creditors_total,B1_train_mean,74018,0.0652,0.0021,0.0009,-0.0001,,0.7071,,
creditors_total,B2_group_mean,74018,0.0652,0.0021,0.0014,-0.0,0.0258,0.7089,0.169,0.0492
creditors_total,B3_gbm,74018,0.0652,0.1644,0.0225,0.1626,0.2207,0.7383,1.8215,0.1086
current_assets,B0_zero,69809,0.049,0.0,0.0,-0.0004,,0.6562,,
current_assets,B1_train_mean,69809,0.049,0.0003,0.0003,-0.0001,,0.6572,,
current_assets,B2_group_mean,69809,0.049,0.0007,0.0004,0.0003,0.0436,0.6589,0.1743,0.0259
current_assets,B3_gbm,69809,0.049,0.101,0.0091,0.1006,0.1673,0.6851,1.3259,0.0589
debtors,B0_zero,26618,0.1121,0.0,0.0,-0.0005,,0.7677,,
debtors,B1_train_mean,26618,0.1121,0.0003,0.0004,-0.0002,,0.7701,,
debtors,B2_group_mean,26618,0.1121,-0.0003,0.0018,-0.0008,0.0175,0.7775,0.1203,0.0025
debtors,B3_gbm,26618,0.1121,0.1278,0.0276,0.1274,0.1976,0.8113,1.6111,0.0563
employees,B0_zero,76322,0.7335,0.0,0.0,-0.0258,,0.1897,,
employees,B1_train_mean,76322,0.7335,0.0251,0.0014,-0.0,,0.2474,,
employees,B2_group_mean,76322,0.7335,0.0685,0.0053,0.0445,0.0794,0.2394,0.3232,0.0
employees,B3_gbm,76322,0.7335,0.2558,0.0107,0.2366,0.281,0.2403,0.782,0.0257
equity,B0_zero,78768,0.1274,0.0,0.0,-0.0001,,1.9965,,
equity,B1_train_mean,78768,0.1274,0.0,0.0001,-0.0001,,2.0039,,
equity,B2_group_mean,78768,0.1274,0.0005,0.0011,0.0004,0.0457,2.054,0.5003,0.0029
equity,B3_gbm,78768,0.1274,0.1419,0.0038,0.1419,0.0585,2.5542,6.6883,0.0042
fixed_assets,B0_zero,40192,0.2399,0.0,0.0,-0.0008,,0.4618,,
fixed_assets,B1_train_mean,40192,0.2399,0.0006,0.0005,-0.0001,,0.4651,,
fixed_assets,B2_group_mean,40192,0.2399,0.0006,0.0004,-0.0001,0.1519,0.4701,0.218,0.0488
fixed_assets,B3_gbm,40192,0.2399,0.0578,0.013,0.057,0.1618,0.5016,0.7845,0.0051
net_assets_liabilities,B0_zero,67001,0.0608,0.0,0.0,-0.0001,,2.0237,,
net_assets_liabilities,B1_train_mean,67001,0.0608,0.0,0.0001,-0.0001,,2.033,,
net_assets_liabilities,B2_group_mean,67001,0.0608,0.0006,0.0008,0.0005,0.0435,2.0752,0.6328,0.0353
net_assets_liabilities,B3_gbm,67001,0.0608,0.1339,0.0069,0.1338,0.0448,2.5741,6.7045,-0.0153
net_current_assets_liabilities,B0_zero,74815,0.0548,0.0,0.0,-0.0015,,2.5036,,
net_current_assets_liabilities,B1_train_mean,74815,0.0548,0.0014,0.0008,-0.0001,,2.5643,,
net_current_assets_liabilities,B2_group_mean,74815,0.0548,0.0011,0.0009,-0.0004,0.027,2.575,0.383,0.0154
net_current_assets_liabilities,B3_gbm,74815,0.0548,0.1647,0.0065,0.1634,0.1266,3.2812,8.912,0.1933
profit_loss,B0_zero,2916,0.0302,0.0,0.0,-0.0037,,4.2975,,
profit_loss,B1_train_mean,2916,0.0302,-0.0011,0.0033,-0.0048,,4.3462,,
profit_loss,B2_group_mean,2916,0.0302,-0.0151,0.0056,-0.0189,-0.0493,4.4721,-2.4231,-0.1659
profit_loss,B3_gbm,2916,0.0302,0.1071,0.1206,0.1039,0.2803,5.7455,12.7756,3.7398
total_assets_less_current_liabilities,B0_zero,70435,0.0618,0.0,0.0,-0.0008,,1.6772,,
total_assets_less_current_liabilities,B1_train_mean,70435,0.0618,0.0007,0.0005,-0.0001,,1.7096,,
total_assets_less_current_liabilities,B2_group_mean,70435,0.0618,0.0017,0.0005,0.0009,0.0604,1.7456,0.4742,0.0095
total_assets_less_current_liabilities,B3_gbm,70435,0.0618,0.14,0.012,0.1393,0.0881,2.1091,6.5702,0.0121
