CompanyNumber,final_news_score,sentiment_direction
13209628,,neutral
13887674,,neutral
13408899,,neutral
SC374368,,neutral
13675979,,neutral
5539499,,neutral
4455262,,neutral
15212355,,neutral
15767878,,neutral
13549085,,neutral
3499768,,neutral
15096454,,neutral
7459488,,neutral
9903474,,neutral
9959609,,neutral
7466663,,neutral
9386187,,neutral
3285452,,neutral
SC786259,,neutral
3045370,,neutral
5591694,,neutral
5058067,,neutral
15339289,,neutral
12116572,14.397475901354277,positive
9867533,,neutral
14199397,,neutral
11423294,,neutral
14452412,,neutral
13791434,,neutral
1318036,,neutral
11176249,,neutral
11996251,,neutral
6476367,12.784827796654586,positive
4513440,,neutral
13879542,,neutral
2369080,,neutral
13121014,,neutral
7182946,,neutral
6788851,,neutral
11441479,,neutral
14173912,,neutral
3126300,,neutral
NI027037,,neutral
4668373,,neutral
11948665,,neutral
8949478,,neutral
13472413,,neutral
14606935,,neutral
13122487,,neutral
11798119,,neutral
1790628,,neutral
2173760,,neutral
8049377,,neutral
10123418,21.127516099312366,positive
SC772023,,neutral
12076859,,neutral
6015503,,neutral
2611043,,neutral
5900384,,neutral
SC479034,,neutral
11527158,,neutral
14850008,,neutral
7909650,,neutral
7932384,,neutral
13469571,,neutral
11981407,,neutral
7810704,,neutral
15597626,,neutral
4632034,,neutral
5381525,,neutral
15019607,,neutral
8559934,,neutral
10327266,,neutral
12305178,,neutral
2628380,,neutral
3847550,,neutral
5979619,,neutral
888116,,neutral
12454801,,neutral
9333801,,neutral
5818944,,neutral
SC370189,,neutral
15765512,,neutral
14708194,,neutral
15992705,,neutral
15091936,,neutral
13125610,,neutral
14279425,,neutral
15016999,,neutral
9305829,,neutral
SC480790,,neutral
4800351,18.699047151469173,positive
11083467,,neutral
SC196184,,neutral
3244421,,neutral
5422891,,neutral
11341464,,neutral
12400233,,neutral
5914317,,neutral
15918411,,neutral
5670922,33.78335904903662,positive
15680731,,neutral
2405231,,neutral
11581447,,neutral
15830337,,neutral
6123767,16.180440695006002,positive
10043653,15.374447243837976,positive
4692061,,neutral
15781083,,neutral
12605990,,neutral
4587115,,neutral
7292575,,neutral
SC652018,,neutral
14286278,,neutral
15464370,,neutral
11890867,,neutral
4014632,,neutral
14013269,,neutral
14417863,,neutral
15445633,,neutral
7719253,,neutral
7939959,,neutral
9755915,,neutral
11224126,,neutral
11091146,,neutral
16149476,,neutral
6804422,,neutral
11079030,,neutral
8307303,,neutral
7322553,,neutral
8419768,,neutral
14185936,,neutral
9066858,,neutral
7251089,,neutral
11513579,,neutral
14432787,,neutral
14303493,,neutral
6515334,,neutral
6389217,,neutral
14832430,,neutral
7730765,,neutral
15610244,,neutral
6498228,,neutral
11087227,,neutral
127864,,neutral
11556879,,neutral
5112988,,neutral
14722992,,neutral
13912489,,neutral
13756190,,neutral
11341234,,neutral
6725172,,neutral
14656102,,neutral
11180724,,neutral
13089848,,neutral
15721907,,neutral
9549927,,neutral
14654809,,neutral
5670500,,neutral
6627561,,neutral
SC083483,,neutral
15921838,,neutral
10496304,,neutral
4306027,,neutral
4780617,,neutral
7550635,,neutral
13822878,,neutral
12551032,,neutral
7626815,,neutral
15620937,,neutral
9223188,,neutral
14528941,,neutral
8067376,,neutral
13746441,,neutral
NI704329,,positive
12919609,,neutral
7755118,,neutral
5178857,,neutral
NI700926,,neutral
13633411,,neutral
8453117,,neutral
SC756455,,neutral
6185192,,neutral
12353748,14.809319621903583,positive
10710847,,neutral
12797481,,neutral
6035827,,neutral
8832226,,neutral
11781876,16.162923981689403,positive
11245077,,neutral
16638055,,neutral
8885540,,neutral
6505294,,neutral
12909028,,neutral
13390481,,neutral
7737809,,neutral
11468659,,neutral
13218649,,neutral
9654615,,neutral
14832254,,neutral
14218962,,neutral
13467915,,neutral
12601875,,neutral
14954794,,neutral
10412218,,neutral
15470257,,neutral
5030390,14.315500470239085,negative
SC244830,,neutral
7972555,,neutral
14802348,,neutral
5219819,,neutral
8016402,,neutral
SC631082,,neutral
10004948,,neutral
14619368,,neutral
12225319,,neutral
4977875,,neutral
3302909,,neutral
10835834,,neutral
15085097,,neutral
13633901,,neutral
5064661,,neutral
2753606,17.008475209391456,positive
14973139,,neutral
1663926,,neutral
8204420,,neutral
6774985,,neutral
12103200,,neutral
12710409,,neutral
11440371,,neutral
15415025,,neutral
13856642,,neutral
9762175,,neutral
15743835,,neutral
10298137,,neutral
1680599,,neutral
13692655,,neutral
12105779,,neutral
13120697,,neutral
14266461,,neutral
7707394,,neutral
8881049,,neutral
6904396,,neutral
15077181,,neutral
2871775,,neutral
12186124,,neutral
12694215,,neutral
7118524,,neutral
2942778,,neutral
6754948,,neutral
15849926,,neutral
6746843,,neutral
12639414,,neutral
12200255,,neutral
13857331,,neutral
15633256,,neutral
9231410,,neutral
11330646,,neutral
10858412,,neutral
14705270,,neutral
