target,model,variant,peer_pct,discrim_rate,pairwise_acc,effective_acc,spearman,zero_frac,n,acc_sd
cash,B0_zero,gbm,False,0.0,,0.5,,0.0413,25551,
cash,B0_zero,gbm,True,0.0,,0.5,,0.0413,25551,
cash,hgb,gbm,False,1.0,0.5798,0.5798,0.2325,0.0413,25551,0.0077
cash,hgb,gbm,True,0.9999,0.5794,0.5794,0.2319,0.0413,25551,0.009
creditors_total,B0_zero,gbm,False,0.0,,0.5,,0.0656,59239,
creditors_total,B0_zero,gbm,True,0.0,,0.5,,0.0656,59239,
creditors_total,hgb,gbm,False,0.9999,0.5814,0.5814,0.2362,0.0656,59239,0.0032
creditors_total,hgb,gbm,True,1.0,0.5825,0.5825,0.2393,0.0656,59239,0.003
current_assets,B0_zero,gbm,False,0.0,,0.5,,0.0496,55886,
current_assets,B0_zero,gbm,True,0.0,,0.5,,0.0496,55886,
current_assets,hgb,gbm,False,0.9997,0.5609,0.5609,0.1769,0.0496,55886,0.0041
current_assets,hgb,gbm,True,0.9996,0.5612,0.5612,0.1776,0.0496,55886,0.0041
debtors,B0_zero,gbm,False,0.0,,0.5,,0.1122,21420,
debtors,B0_zero,gbm,True,0.0,,0.5,,0.1122,21420,
debtors,hgb,gbm,False,0.9996,0.5541,0.554,0.1591,0.1122,21420,0.0056
debtors,hgb,gbm,True,0.9996,0.5527,0.5527,0.1553,0.1122,21420,0.0041
employees,B0_zero,gbm,False,0.0,,0.5,,0.7331,61076,
employees,B0_zero,gbm,True,0.0,,0.5,,0.7331,61076,
employees,hgb,gbm,False,0.2951,0.5811,0.5239,0.1778,0.7331,61076,0.0058
employees,hgb,gbm,True,0.2563,0.5836,0.5214,0.1826,0.7331,61076,0.0041
equity,B0_zero,gbm,False,0.0,,0.5,,0.1282,63033,
equity,B0_zero,gbm,True,0.0,,0.5,,0.1282,63033,
equity,hgb,gbm,False,0.9966,0.5554,0.5552,0.1449,0.1282,63033,0.0053
equity,hgb,gbm,True,0.9948,0.5524,0.5521,0.1379,0.1282,63033,0.0039
fixed_assets,B0_zero,gbm,False,0.0,,0.5,,0.2404,32203,
fixed_assets,B0_zero,gbm,True,0.0,,0.5,,0.2404,32203,
fixed_assets,hgb,gbm,False,0.9638,0.6047,0.601,0.2929,0.2404,32203,0.0053
fixed_assets,hgb,gbm,True,0.9618,0.6043,0.6003,0.2905,0.2404,32203,0.0061
net_assets_liabilities,B0_zero,gbm,False,0.0,,0.5,,0.0611,53706,
net_assets_liabilities,B0_zero,gbm,True,0.0,,0.5,,0.0611,53706,
net_assets_liabilities,hgb,gbm,False,0.9999,0.5595,0.5595,0.163,0.0611,53706,0.0026
net_assets_liabilities,hgb,gbm,True,0.9999,0.5588,0.5588,0.1612,0.0611,53706,0.0027
net_current_assets_liabilities,B0_zero,gbm,False,0.0,,0.5,,0.0549,59887,
net_current_assets_liabilities,B0_zero,gbm,True,0.0,,0.5,,0.0549,59887,
net_current_assets_liabilities,hgb,gbm,False,0.9995,0.5639,0.5639,0.1805,0.0549,59887,0.0027
net_current_assets_liabilities,hgb,gbm,True,0.9997,0.5632,0.5632,0.1786,0.0549,59887,0.0014
profit_loss,B0_zero,gbm,False,0.0,,0.5,,0.0332,2351,
profit_loss,B0_zero,gbm,True,0.0,,0.5,,0.0332,2351,
profit_loss,hgb,gbm,False,1.0,0.5979,0.5979,0.2864,0.0332,2351,0.0102
profit_loss,hgb,gbm,True,1.0,0.5962,0.5962,0.2812,0.0332,2351,0.0062
total_assets_less_current_liabilities,B0_zero,gbm,False,0.0,,0.5,,0.062,56348,
total_assets_less_current_liabilities,B0_zero,gbm,True,0.0,,0.5,,0.062,56348,
total_assets_less_current_liabilities,hgb,gbm,False,0.9995,0.5698,0.5698,0.1928,0.062,56348,0.0048
total_assets_less_current_liabilities,hgb,gbm,True,0.9995,0.5699,0.5699,0.1927,0.062,56348,0.0061
