target,model,variant,peer_pct,discrim_rate,pairwise_acc,effective_acc,spearman,zero_frac,n,acc_sd
cash,B0_zero,gbm,False,0.0,,0.5,,0.0413,25551,
cash,B0_zero,gbm,True,0.0,,0.5,,0.0413,25551,
cash,lgbm,gbm,False,1.0,0.581,0.581,0.2357,0.0413,25551,0.0079
cash,lgbm,gbm,True,1.0,0.5806,0.5806,0.2342,0.0413,25551,0.0059
creditors_total,B0_zero,gbm,False,0.0,,0.5,,0.0656,59239,
creditors_total,B0_zero,gbm,True,0.0,,0.5,,0.0656,59239,
creditors_total,lgbm,gbm,False,0.9999,0.5809,0.5809,0.2345,0.0656,59239,0.0036
creditors_total,lgbm,gbm,True,0.9999,0.5812,0.5812,0.2358,0.0656,59239,0.0037
current_assets,B0_zero,gbm,False,0.0,,0.5,,0.0496,55886,
current_assets,B0_zero,gbm,True,0.0,,0.5,,0.0496,55886,
current_assets,lgbm,gbm,False,1.0,0.5651,0.5651,0.1889,0.0496,55886,0.0028
current_assets,lgbm,gbm,True,1.0,0.5659,0.5659,0.1911,0.0496,55886,0.0035
debtors,B0_zero,gbm,False,0.0,,0.5,,0.1122,21420,
debtors,B0_zero,gbm,True,0.0,,0.5,,0.1122,21420,
debtors,lgbm,gbm,False,1.0,0.5593,0.5593,0.1744,0.1122,21420,0.0043
debtors,lgbm,gbm,True,1.0,0.5572,0.5572,0.1684,0.1122,21420,0.0021
employees,B0_zero,gbm,False,0.0,,0.5,,0.7331,61076,
employees,B0_zero,gbm,True,0.0,,0.5,,0.7331,61076,
employees,lgbm,gbm,False,0.1965,0.5259,0.505,0.0561,0.7331,61076,0.0035
employees,lgbm,gbm,True,0.1899,0.5279,0.5054,0.0602,0.7331,61076,0.0119
equity,B0_zero,gbm,False,0.0,,0.5,,0.1282,63033,
equity,B0_zero,gbm,True,0.0,,0.5,,0.1282,63033,
equity,lgbm,gbm,False,0.9966,0.5566,0.5564,0.1475,0.1282,63033,0.0038
equity,lgbm,gbm,True,0.9964,0.5563,0.5561,0.1482,0.1282,63033,0.0036
fixed_assets,B0_zero,gbm,False,0.0,,0.5,,0.2404,32203,
fixed_assets,B0_zero,gbm,True,0.0,,0.5,,0.2404,32203,
fixed_assets,lgbm,gbm,False,0.9545,0.6056,0.6008,0.2948,0.2404,32203,0.0054
fixed_assets,lgbm,gbm,True,0.9801,0.6045,0.6024,0.2927,0.2404,32203,0.0054
net_assets_liabilities,B0_zero,gbm,False,0.0,,0.5,,0.0611,53706,
net_assets_liabilities,B0_zero,gbm,True,0.0,,0.5,,0.0611,53706,
net_assets_liabilities,lgbm,gbm,False,0.9998,0.5581,0.5581,0.1587,0.0611,53706,0.0046
net_assets_liabilities,lgbm,gbm,True,0.9999,0.5597,0.5597,0.1636,0.0611,53706,0.0032
net_current_assets_liabilities,B0_zero,gbm,False,0.0,,0.5,,0.0549,59887,
net_current_assets_liabilities,B0_zero,gbm,True,0.0,,0.5,,0.0549,59887,
net_current_assets_liabilities,lgbm,gbm,False,0.9998,0.5633,0.5633,0.179,0.0549,59887,0.0026
net_current_assets_liabilities,lgbm,gbm,True,0.9998,0.5624,0.5624,0.1766,0.0549,59887,0.0013
profit_loss,B0_zero,gbm,False,0.0,,0.5,,0.0332,2351,
profit_loss,B0_zero,gbm,True,0.0,,0.5,,0.0332,2351,
profit_loss,lgbm,gbm,False,1.0,0.5956,0.5956,0.28,0.0332,2351,0.0181
profit_loss,lgbm,gbm,True,1.0,0.5995,0.5995,0.2902,0.0332,2351,0.0082
total_assets_less_current_liabilities,B0_zero,gbm,False,0.0,,0.5,,0.062,56348,
total_assets_less_current_liabilities,B0_zero,gbm,True,0.0,,0.5,,0.062,56348,
total_assets_less_current_liabilities,lgbm,gbm,False,0.9995,0.5708,0.5708,0.1955,0.062,56348,0.005
total_assets_less_current_liabilities,lgbm,gbm,True,0.9996,0.5699,0.5699,0.1929,0.062,56348,0.0065
