target,model,variant,peer_pct,discrim_rate,pairwise_acc,effective_acc,spearman,zero_frac,n,acc_sd
cash,B0_zero,ridge,False,0.0,,0.5,,0.0413,25551,
cash,B0_zero,ridge,True,0.0,,0.5,,0.0413,25551,
cash,ridge,ridge,False,1.0,0.5815,0.5815,0.2387,0.0413,25551,0.0068
cash,ridge,ridge,True,1.0,0.5801,0.5801,0.2341,0.0413,25551,0.0062
creditors_total,B0_zero,ridge,False,0.0,,0.5,,0.0656,59239,
creditors_total,B0_zero,ridge,True,0.0,,0.5,,0.0656,59239,
creditors_total,ridge,ridge,False,1.0,0.5756,0.5756,0.2224,0.0656,59239,0.0028
creditors_total,ridge,ridge,True,1.0,0.572,0.572,0.212,0.0656,59239,0.003
current_assets,B0_zero,ridge,False,0.0,,0.5,,0.0496,55886,
current_assets,B0_zero,ridge,True,0.0,,0.5,,0.0496,55886,
current_assets,ridge,ridge,False,1.0,0.5538,0.5538,0.1584,0.0496,55886,0.0017
current_assets,ridge,ridge,True,1.0,0.5541,0.5541,0.1593,0.0496,55886,0.0013
debtors,B0_zero,ridge,False,0.0,,0.5,,0.1122,21420,
debtors,B0_zero,ridge,True,0.0,,0.5,,0.1122,21420,
debtors,ridge,ridge,False,1.0,0.5655,0.5655,0.1934,0.1122,21420,0.004
debtors,ridge,ridge,True,1.0,0.5658,0.5658,0.194,0.1122,21420,0.0051
employees,B0_zero,ridge,False,0.0,,0.5,,0.7331,61076,
employees,B0_zero,ridge,True,0.0,,0.5,,0.7331,61076,
employees,ridge,ridge,False,1.0,0.5927,0.5927,0.2364,0.7331,61076,0.0055
employees,ridge,ridge,True,1.0,0.5941,0.5941,0.2401,0.7331,61076,0.0056
equity,B0_zero,ridge,False,0.0,,0.5,,0.1282,63033,
equity,B0_zero,ridge,True,0.0,,0.5,,0.1282,63033,
equity,ridge,ridge,False,1.0,0.5147,0.5147,0.0493,0.1282,63033,0.0028
equity,ridge,ridge,True,1.0,0.5112,0.5112,0.0457,0.1282,63033,0.0031
fixed_assets,B0_zero,ridge,False,0.0,,0.5,,0.2404,32203,
fixed_assets,B0_zero,ridge,True,0.0,,0.5,,0.2404,32203,
fixed_assets,ridge,ridge,False,1.0,0.5158,0.5158,0.0486,0.2404,32203,0.0039
fixed_assets,ridge,ridge,True,1.0,0.5335,0.5335,0.1004,0.2404,32203,0.0048
net_assets_liabilities,B0_zero,ridge,False,0.0,,0.5,,0.0611,53706,
net_assets_liabilities,B0_zero,ridge,True,0.0,,0.5,,0.0611,53706,
net_assets_liabilities,ridge,ridge,False,1.0,0.5127,0.5127,0.0417,0.0611,53706,0.003
net_assets_liabilities,ridge,ridge,True,1.0,0.5079,0.5079,0.0353,0.0611,53706,0.0029
net_current_assets_liabilities,B0_zero,ridge,False,0.0,,0.5,,0.0549,59887,
net_current_assets_liabilities,B0_zero,ridge,True,0.0,,0.5,,0.0549,59887,
net_current_assets_liabilities,ridge,ridge,False,1.0,0.5395,0.5395,0.1211,0.0549,59887,0.0035
net_current_assets_liabilities,ridge,ridge,True,1.0,0.5369,0.5369,0.1171,0.0549,59887,0.0033
profit_loss,B0_zero,ridge,False,0.0,,0.5,,0.0332,2351,
profit_loss,B0_zero,ridge,True,0.0,,0.5,,0.0332,2351,
profit_loss,ridge,ridge,False,1.0,0.6018,0.6018,0.2965,0.0332,2351,0.0158
profit_loss,ridge,ridge,True,1.0,0.6131,0.6131,0.3284,0.0332,2351,0.0198
total_assets_less_current_liabilities,B0_zero,ridge,False,0.0,,0.5,,0.062,56348,
total_assets_less_current_liabilities,B0_zero,ridge,True,0.0,,0.5,,0.062,56348,
total_assets_less_current_liabilities,ridge,ridge,False,1.0,0.5239,0.5239,0.0749,0.062,56348,0.0032
total_assets_less_current_liabilities,ridge,ridge,True,1.0,0.5218,0.5218,0.0716,0.062,56348,0.0044
