CompanyNumber,CompanyName,primary_sector_x,priority_calibrated,priority_queue_percentile,primary_dimension_calibrated,cluster_name_auto,calibration_status,forward_deepen_score,forward_deepen_reference_percentile,forward_deepen_status,forward_relative_grow_score,forward_relative_grow_reference_percentile,forward_relative_grow_tail_signal,forward_relative_grow_status,forward_defend_score,forward_defend_reference_percentile,forward_defend_status,final_news_score,sentiment_direction,company_hiring_score,Primary_Action_Category,Business_Scenario,Explanation_Text
13209628,TICKETY BOO TEETH LIMITED,Healthcare,,,,High current-assets scale + High net assets,INSUFFICIENT_EVIDENCE,28.71545646,0.83621641,Complete,96.04453176,0.9590586,80.22265881,Complete,0.0,0.45223406,Complete,,neutral,49.1,Opportunity without Pressure,Deepen [15-25%] | Grow [Top 5%],"[Static Financial Signal] Insufficient financial evidence; unable to evaluate current status. [Future Forward Signals] Deepen expansion momentum is in the [15%-25% Tier]; Relative Grow requirement is in the [Top 5% Tier]; no strong Defend signal was detected. Additionally, a potential funding-need signal was captured; verification is recommended. Note: Results are for business screening and do not replace client due diligence or formal credit assessment."
13887674,TECH INFUSION LIMITED,Fast growth & emerging sector,,,,,PARTIAL_DIMENSION_ONLY,10.53734871,0.58359603,Complete,9.76330807,0.09964169,0.0,Complete,,,Insufficient,,neutral,63.8,Opportunity without Pressure,Deepen [25-50%],[Static Financial Signal] Partial financial evidence; unable to evaluate full static priority. [Future Forward Signals] Deepen expansion momentum is in the [25%-50% Tier]; Relative Grow requirement is in the [50%-100% Tier]. Note: Results are for business screening and do not replace client due diligence or formal credit assessment.
13408899,THE SCC ACADEMY LIMITED,Fast growth & emerging sector,,,,,INSUFFICIENT_EVIDENCE,,,,,,,,,,,,neutral,63.8,Insufficient Forward Evidence,Insufficient Forward Evidence,[Static Financial Signal] Insufficient financial evidence; unable to evaluate current status. [Future Forward Signals] Insufficient forward evidence; automatic prediction generation terminated. Note: Results are for business screening and do not replace client due diligence or formal credit assessment.
SC374368,GRACEFRUIT LIMITED,Wholesale & Retail,,,,High equity + High net assets,INSUFFICIENT_EVIDENCE,,,,,,,,,,,,neutral,36.1,Insufficient Forward Evidence,Insufficient Forward Evidence,[Static Financial Signal] Insufficient financial evidence; unable to evaluate current status. [Future Forward Signals] Insufficient forward evidence; automatic prediction generation terminated. Note: Results are for business screening and do not replace client due diligence or formal credit assessment.
13675979,LINHAM LIMITED,Wholesale & Retail,83.34264172,57.84482203,Defend,High fixed-assets scale + High creditor scale + working-capital pressure,THREE_WAY_COMPLETE,35.0,0.89396328,Complete,70.07203667,0.69136334,0.0,Complete,27.40586438,0.81626518,Complete,,neutral,51.5,Opportunity with Pressure,Current Priority [25-50%] | Deepen [5-15%] | Grow [25-50%] | Risk [15-25%],"[Static Financial Signal] The enterprise's current financial signal priority is in the [25%-50% Tier], primarily driven by the Defend dimension, corresponding to the 'High fixed-assets scale + High creditor scale + working-capital pressure' profile. [Future Forward Signals] Deepen expansion momentum is in the [5%-15% Tier]; Relative Grow requirement is in the [25%-50% Tier] (Reserve Observation); Defend pressure is in the [15%-25% Tier], indicating a signal for further verification. Note: Results are for business screening and do not replace client due diligence or formal credit assessment."
5539499,LEGAL MEDIA MONITOR LIMITED,"Technology, legal & professional",90.37978218,74.19285546,Grow,High equity + High net assets,THREE_WAY_COMPLETE,13.55275444,0.78612303,Partial,87.03901207,0.86615237,50.0,Complete,44.065566,0.92716234,Complete,,neutral,44.1,Opportunity with Pressure,Current Priority [25-50%] | Grow [5-15%] | Risk [5-15%],"[Static Financial Signal] The enterprise's current financial signal priority is in the [25%-50% Tier], primarily driven by the Grow dimension, corresponding to the 'High equity + High net assets' profile. [Future Forward Signals] Relative Grow requirement is in the [5%-15% Tier]; Defend pressure is in the [5%-15% Tier], indicating a signal for further verification. Additionally, a potential funding-need signal was captured; verification is recommended. Note: Results are for business screening and do not replace client due diligence or formal credit assessment."
4455262,MARMALADE PROPERTY LIMITED,Real Estate,84.9085988,61.36446631,Grow,High fixed-assets scale + High creditor scale + working-capital pressure,THREE_WAY_COMPLETE,14.0,0.63929388,Complete,73.84039667,0.7301118,0.0,Complete,0.0,0.45223406,Complete,,neutral,11.3,Opportunity without Pressure,Current Priority [25-50%] | Deepen [25-50%] | Grow [25-50%],"[Static Financial Signal] The enterprise's current financial signal priority is in the [25%-50% Tier], primarily driven by the Grow dimension, corresponding to the 'High fixed-assets scale + High creditor scale + working-capital pressure' profile. [Future Forward Signals] Deepen expansion momentum is in the [25%-50% Tier]; Relative Grow requirement is in the [25%-50% Tier] (Reserve Observation); no strong Defend signal was detected. [External Validation Signals] personnel hiring contraction. Note: Results are for business screening and do not replace client due diligence or formal credit assessment."
15212355,MAUS NE LIMITED,Healthcare,,,,Low net assets + Low equity + elevated negative-equity rate,INSUFFICIENT_EVIDENCE,,,,,,,,,,,,neutral,25.2,Insufficient Forward Evidence,Insufficient Forward Evidence,[Static Financial Signal] Insufficient financial evidence; unable to evaluate current status. [Future Forward Signals] Insufficient forward evidence; automatic prediction generation terminated. Note: Results are for business screening and do not replace client due diligence or formal credit assessment.
15767878,MAROZI LTD,"Technology, legal & professional",,,,Low employee scale + Low creditor scale,INSUFFICIENT_EVIDENCE,,,,,,,,,,,,neutral,37.0,Insufficient Forward Evidence,Insufficient Forward Evidence,[Static Financial Signal] Insufficient financial evidence; unable to evaluate current status. [Future Forward Signals] Insufficient forward evidence; automatic prediction generation terminated. Note: Results are for business screening and do not replace client due diligence or formal credit assessment.
13549085,AZIMUTH FINANCIAL (OXFORD) LIMITED,"Technology, legal & professional",,,,High equity + High net assets,PARTIAL_DIMENSION_ONLY,,,Insufficient,,,,Insufficient,3.43366576,0.51666208,Complete,,neutral,66.3,Pressure Only,Risk [25-50%],"[Static Financial Signal] Partial financial evidence; unable to evaluate full static priority. [Future Forward Signals] Defend pressure is in the [25%-50% Tier], indicating a signal for further verification. Note: Results are for business screening and do not replace client due diligence or formal credit assessment."
